Категория,Подкатегория,Продукт,Описание,Цена
Морепродукты,Креветки,Креветки Королевские 26/30 очищенные 1 кг,Глазурь 30%. Очищенные без хвоста и пищевода. Индия,7 500 Т
Морепродукты,Креветки,Креветка Королевская 16/20 в панцире б/г 1 кг,"Свежемороженая, глазурь 30%, без головы, Индия",7 800 Т
Морепродукты,Креветки,Креветка Королевская 31/40 очищенная 1 кг/уп,"Свежемороженая, очищенная от панциря, упаковка 1 кг, глазурь 30%, пр-во Индия.",7 600 Т
Морепродукты,Креветки,"Креветка Королевская  21/25, в панцире без головы","Креветки глаузурь 30%, упаковка 1 кг, свежемороженная, пр-во Индия",7 600 Т
Морепродукты,Креветки,"Лангустины в панцире с головой, размер 21-30 уп 2 кг","Замороженные, уп. 2 кг, размер 2L (21-30 шт/кг)",11 490 Т
Морепродукты,Креветки,Креветка Королевская 41/50 бланшированная 1 кг,"Королевская креветка, бланшированная, очищенная, уп. 1кг, вылов Индия,",7 800 Т
Морепродукты,Креветки,"Лангустины в Панцире с головой, размер 10-20 уп 2 кг","Сухая заморозка, без глазури, вылов Аргентина, в упаковке 2 кг",15 800 Т
Морепродукты,Креветки,"Креветка Северная, 90/120,  Гренландия","Дикий вылов, вареномороженая весовая, глазурь техническая 5%",9 200 Т
Морепродукты,Креветки,Креветка Тигровая  13/15 с головой,"Тигровые Креветки вылов Индия, замороженные, вес упаковки 1 кг",12 800 Т
Морепродукты,Креветки,Креветка Королевская Premium 31/40 с/м очищ с хвостом 7% глазурь,,8 500 Т
Морепродукты,Креветки,Креветка Premium 16/20 с/м б/г 7% глазурь,"Креветка Ваннамей в панцире, без головы, свежемороженная",8 800 Т
Морепродукты,Креветки,"Креветка салатная очищенная 100/200, глазурь 30%, 1 кг/уп",Креветка вареная салатная размер 100/200 пр-во Индия,5 990 Т
Морепродукты,Креветки,"Креветка Королевская Блочная, размер 16/20, 1,8 кг","Чистый вес креветки в блоке после разморозки 1,8 кг",19 500 Т
Морепродукты,Креветки,Креветка Premium 21/25 с/м б/г 7% глазурь,"Свежемороженая, без головы, 7% глазурь",8 500 Т
Морепродукты,Креветки,Креветка Королевская Premium 26/30 с/м очищ с хвостом 7% глазурь,"Без головы, очищенная, Premium",8 800 Т
Морепродукты,Креветки,Креветка Лангустины с/м без головы 30/55 уп 2 кг,Упаковка 2 кг. Без головы. Количество 30-55 штук на 1 кг.,16 500 Т
Морепродукты,Креветки,"Креветка Королевская Блочная, в панцире 21/25, 1,8 кг","Чистый вес креветки в блоке 1,8 кг, общий вес блока со льдом 2,4 кг",18 500 Т
Морепродукты,Креветки,Креветка Premium 41/50 бланш очищ с хвостом 7% глазурь,"Бланшированная, очищенная от панцыря и пищевода, с хвостом. Индия",8 500 Т
Морепродукты,Креветки,Креветка Premium 100/200 бланш очищ 7% глазурь,"Бланшированная, очищенная,7% глазурь",6 900 Т
Морепродукты,Креветки,"Креветка красная (spot prawns) Канада, размер J 15-19 шт/кг",,45 990 Т
Морепродукты,Креветки,"Креветка красная (spot prawns) Канада, размер XJ 10-14 шт/кг",,46 990 Т
Морепродукты,Крабы,Конечности Камчатского Краба 4L,"Краб Камчатский, замороженный, конечности длиной 40 - 50 см",38 000 Т
Морепродукты,Крабы,"Мясо краба, 1я фаланга уп. 1 кг","Мясо из первой фаланги, замороженное.",49 500 Т
Морепродукты,Крабы,"Конечности Камчатского Краба 3 L, 900-1400 гр","Замороженные, вес одной секции 900-1400 гр, размер 3 L",35 000 Т
Морепродукты,Крабы,Краб Камчатский Роза (плечо),"Чистое крабовое мясо из плечевой области, упаковка 1 кг",48 000 Т
Морепродукты,Крабы,Мясо краба в/м блок (салатное мясо),"Замороженное Крабовое мясо, вес блока 1 кг",30 000 Т
Морепродукты,Крабы,Краб камчатский полуфиле большой клешни 1 кг/уп,,35 000 Т
Морепродукты,Крабы,Red Crab Краб 1-я фаланга в заливке 220 гр ст/бан,"Мясо камчатского краба, вода питьевая, соль",19 000 Т
Морепродукты,Крабы,Red Crab Краб 1-я фаланга в заливке 500 гр ст/бан,,40 000 Т
Морепродукты,Крабы,Kani Крабовое мясо 500гр 8 шт,,2 500 Т
Морепродукты,Устрицы,Устрицы Gillardeau (Жилардо) №2,Французские устрицы Жилардо #2,3 000 Т
Морепродукты,Устрицы,Устрицы Fine de Claire Marine (Марине) # 2,Живые устрицы из Франции Marine #2,1 590 Т
Морепродукты,Устрицы,Устрицы Fine de Claire Celine (Селин) # 2,"Живые, доставлены из Франции самолетом",2 100 Т
Морепродукты,Устрицы,Устрицы Ostra Regal  #2,"Устрицы живые, доставляются по предварительному заказу по пятницам, вылов Франция",3 000 Т
Морепродукты,Устрицы,Устрицы Tarbouriech №2,"Доставляются самолетом в живом виде, вылов Франция",3 000 Т
Морепродукты,Устрицы,Корзина устриц  Жилардо/Gillardeau №2 48 шт,,144 000 Т
Морепродукты,Устрицы,Корзина устриц  Жилардо/Gillardeau №2 24шт,,72 000 Т
Морепродукты,Устрицы,Устрицы De Cancale (Канкаль) # 2,"Живые, регион Канкаль, размер №2",2 100 Т
Морепродукты,Устрицы,Устрицы Normandie (Норманди) #2,"Живые устрицы севера Франции, залив Вэйс",1 590 Т
Морепродукты,Устрицы,Устрицы La Belle №2,"Французские устрицы La Belle №2, живые",2 200 Т
Морепродукты,Устрицы,Устрицы №2 Царская,Живые устрицы #2 Царская,3 000 Т
Морепродукты,Устрицы,Нож устричный KingFisher,Стальной нож для открывания устриц с подрезкой,4 800 Т
Морепродукты,Устрицы,Устрицы Utah Beach (Ута Бич) №2,"Живые французские устрицы, регион Нормандия",2 100 Т
Морепродукты,Устрицы,Устрицы Josephine (Жозефин) #2,,3 000 Т
Морепродукты,Устрицы,Устрицы Krystale (Кристал) №2,Живые устрицы сладковатого вкуса,2 500 Т
Морепродукты,Устрицы,Устрицы St Vaast (Сэн Васт) # 2,Северо-Восточная часть Cotentin Peninsula,2 100 Т
Морепродукты,Устрицы,Устрицы Хасаку Муроцу #3,Живые Устрицы из Японии,2 500 Т
Морепродукты,Устрицы,Устрицы Bretagne (Бретань) # 2,"Живые, Северо-восточный французский регион Бретань",1 590 Т
Морепродукты,Устрицы,Устрицы Мадока Хиросима #3,Живые Устрицы из Японии,2 500 Т
Морепродукты,Устрицы,Устрицы Sentinelle (Сентинель) # 2,,2 000 Т
Морепродукты,Устрицы,Устрицы Онужима Оита #5,Живые Устрицы из Японии,2 400 Т
Морепродукты,Устрицы,Устрицы Ostra Regal Gold Selection (Остра Регал Золотые) #2,Живые устрицы Ostra Regal покрытые золотом. Размер №2. Франция,3 000 Т
Морепродукты,Гребешок,"Гребешок 10/20 Премиум, 8% глазурь, 1 кг",Кол-во 24-38 шт. Филе морского гребешка,23 500 Т
Морепродукты,Гребешок,Гребешок обработанный Econom +S 10/20 1 кг 8% глазурь,,16 800 Т
Морепродукты,Гребешок,"Гребешок на половине раковины золотой 45/55, 1 кг",,8 800 Т
Морепродукты,Гребешок,"Гребешок-медальоны 10/20, 500 гр",Кусочки морского гребешка прессованные в виде медальонов,6 000 Т
Морепродукты,Мидии,Мидии в раковине 40-60 закрытые,"Замороженные, Чили, уп. 1 кг",4 900 Т
Морепродукты,Мидии,Мясо Мидий 200/300 очищенное 1 кг/уп,"Очищенные замороженные мидии, размер 200-300, пр-во Чили, уп. 1 кг",4 300 Т
Морепродукты,Мидии,Мидии 30/40 на полустворке Чили,"Замороженные чилийские мидии на ракушке, уп. 1 кг",5 800 Т
Морепродукты,Мидии,Мясо мидии 100/200 очищенное 1 кг/уп,"Очищенные замороженные мидии, размер 100-200, пр-во Чили, уп. 1 кг",4 800 Т
Морепродукты,Осьминоги,"Осьминог молодой Бэби, 40/60","Глубокая заморозка, пакет 1 кг, пр-во Китай",7 000 Т
Морепродукты,Осьминоги,Medusa салат из осьминога 200 гр,"Маринованный осьминог, уп. 200 гр, Италия, Medusa",5 900 Т
Морепродукты,Осьминоги,Каракатица с/м размер 40-60,"Глубокая заморозка, 1 кг пакет,  пр-во Индонезия.",8 500 Т
Морепродукты,Осьминоги,Осьминог 2/3 с/м Индонезия,"Осьминог Замороженный, вылов Индонезия, вес 2-3 кг",15 800 Т
Морепродукты,Осьминоги,Medusa Салат из осьминога 1000 гр,"Маринованные осьминоги в упаковке 1 кг, Италия, Medusa",22 800 Т
Морепродукты,Осьминоги,Осьминог 3+ с/м Индонезия,,16 900 Т
Морепродукты,Осьминоги,Осьминог очищенный 2-3 кг Марокко,"Осьминог Замороженный, вылов Марокко, вес 2 - 3 кг",15 800 Т
Морепродукты,Осьминоги,Осьминог с/м 4+ Марокко,,19 800 Т
Морепродукты,Осьминоги,Осьминог 3/5 с/м Индонезия,,15 800 Т
Морепродукты,Лобстеры,Лобстер (Омар) размер 1000+ гр.,"Свежий Омар вылов Франция, доставляется самолетом",59 000 Т
Морепродукты,Лобстеры,"Хвост Омара 4+, замороженный","Вес 120 - 150 гр. шт., вылов Канада",40 000 Т
Морепродукты,Лобстеры,Клешни Лобстера (Омара) замороженные,Клешни канадского лобстера весом от 300 гр каждая,13 500 Т
Морепродукты,Лобстеры,Омар (лобстер) живой 800-1000 гр,"Свежий Омар вылов Франция, доставляется самолетом",59 000 Т
Морепродукты,Лобстеры,Хвост омара с/м  100-150 гр,"Замороженные хвосты лобстера (Оман), глазурь 25%, вес от 100 до 150 грамм",40 000 Т
Морепродукты,Лобстеры,Хвост омара с/м 150-200 гр,"Замороженные хвосты Омара из Омана, штучный товар весом 150 - 200 грамм",40 000 Т
Морепродукты,Лобстеры,Омар с/м 1000/1500 гр,"Свежемороженный лобстер вес 1-1,5 кг",36 000 Т
Морепродукты,Кальмары,Щупальца Кальмара свежемороженные 1 кг/уп,"Очищенные, замороженные, фасовка 1 кг, пр-во РФ",5 800 Т
Морепродукты,Кальмары,Кальмар трубка U10 1 кг/уп,"Размер U10, пр-во Вьетнам, замороженные",4 600 Т
Морепродукты,Кальмары,"Кольца Кальмара, уп. 1 кг","Кольца кальмара пр-во Россия, уп. 1 кг пакет",5 800 Т
Морепродукты,Кальмары,Кальмар Командорский очищенный 1 кг,"Тушка без плавников и без кожицы, корабельная заморозка, вес упаковки 1 кг",5 990 Т
Морепродукты,Кальмары,"Кальмар Патагонский лолиго, целый 8-11 см 1 кг/уп",,7 000 Т
Морепродукты,Кальмары,Кальмар гигантский щупальца 1 кг/уп,,4 800 Т
Морепродукты,Морской коктейль,Морской Коктейль Стандарт 1 кг,"Состав: креветка, мясо мидий, осьминог, кальмар, упаковка весом 1кг",4 000 Т
Морепродукты,Морской коктейль,Морской коктейль 500 гр,"Полоски и щупальца кальмара, осьминог, мидии, креветки",2 000 Т
Морепродукты,Морской коктейль,Морской коктейль Premium 1 кг,"Гребешки, тунец, мидии, креветки, вонголе, щупальцы, кальмар,",7 000 Т
Морепродукты,Вонголе,Вонголе варено мороженые уп. 500 гр,Вонголе варено мороженые уп. 500 гр,3 900 Т
Морепродукты,Улитки по Бургундски,Улитки по Бургундски в тарелке 12 шт/ вес 89 гр Франция,"Улитки Виноградные в алюминиевой тарелке, 12 шт, замороженные.",5 800 Т
Морепродукты,Улитки по Бургундски,Улитки по Эльзасски (крупные) 48 шт/уп 499 гр Франция,,16 200 Т
Морепродукты,Улитки по Бургундски,Улитки по Эльзасски в тарелке 12 шт/вес 125 гр Франция,"Улитки Виноградные в алюминиевой тарелке, 12 шт, замороженные.",5 800 Т
Морепродукты,Улитки по Бургундски,"Керамическая Сковорода ""Улиточница Эскарготьерка""",Для запекания и подачи Улиток по Бургундски,5 500 Т
Рыба,Охлажденная рыба,"Семга Атлантическая (Лосось) Охлажденная, 3-4 кг, Норвегия","Лосось охлажденный, бесплатная чистка и нарезка.",11 800 Т
Рыба,Охлажденная рыба,Дорадо Охлажденная вес 300-400 гр/шт Турция,"Бесплатно чистим от чешуи, потрошим, моем. Полностью готов к приготовлению.",7 590 Т
Рыба,Охлажденная рыба,Сибас Охлажденный весом 300 - 400 гр/шт,"Сибас бесплатно чистим от чешуи, потрошим, моем. Полностью готов к приготовлению.",7 590 Т
Рыба,Охлажденная рыба,Дорадо Охлажденная вес 400 - 600 гр./шт,"Охлажденная рыба, доставляется два раза в неделю самолетом",7 590 Т
Рыба,Охлажденная рыба,Сибас Охлажденный 400 - 600 гр/шт,"Сибас Бесплатно чистим от чешуи, потрошим, моем. Доставляем готовым к приготовлению.",7 590 Т
Рыба,Охлажденная рыба,"Семга Атлантическая охлажденная, 5-6 кг, Норвегия","Бесплатно чистим от чешуи, потрошим, моем, режем как  вам нужно.",12 800 Т
Рыба,Охлажденная рыба,Сибас охлажденный весом от 1000 до 1500 гр Турция,"Бесплатно чистим от чешуи, потрошим, моем. Полностью готов к приготовлению.",12 990 Т
Рыба,Охлажденная рыба,"Филе из Охлажденной Океанической Форели 1,5 кг","Производство Норвеги из охлажденной рыбы, очищенное от костей,  вес 1,5 кг",21 490 Т
Рыба,Охлажденная рыба,"Сибас Охлажденный 600 - 800 гр., Турция","Бесплатно чистим от чешуи, потрошим, моем. Полностью готов к приготовлению.",9 400 Т
Рыба,Охлажденная рыба,"Дорадо Охлажденная вес 600-800 гр., Турция","Бесплатно чистим от чешуи, потрошим, моем. Полностью готовая к приготовлению.",9 400 Т
Рыба,Охлажденная рыба,Дорадо Охлажденная вес 1000-1500 гр/шт Турция,"Бесплатно чистим от чешуи, потрошим, моем. Полностью готов к приготовлению.",12 990 Т
Рыба,Охлажденная рыба,Снеппер Красный (Red Snapper),"Охлажденный, вес 1-3 кг/рыбка, рифовая",14 800 Т
Рыба,Охлажденная рыба,Барабулька охл 150/450 Red Mullet (Султанка),"Охлажденная, вылов Шри Ланка, 150 - 450 гр/шт По предзаказу.",14 800 Т
Рыба,Охлажденная рыба,"Сибас Охлажденный 800 - 1000 гр., Турция","Бесплатно чистим от чешуи, потрошим, моем. Полностью готов к приготовлению.",12 990 Т
Рыба,Охлажденная рыба,Семга охлажденная с/г 5/6 Чили,Добавьте в свой рацион полезную и вкусную семгу из Чили,11 590 Т
Рыба,Охлажденная рыба,"Барамунди (белый морской окунь) вес 0,5 - 2 кг/шт","Вылов Шри Ланка, охлажденная. По предзаказу.",14 800 Т
Рыба,Охлажденная рыба,"Групер Каменный 0,5 - 2 кг/шт","Охлажденный Группер, вылов Шри Ланке, доставлен самолетом. По предзаказу.",14 800 Т
Рыба,Охлажденная рыба,Семга охлажденная с/г 4/5 Чили,,11 590 Т
Рыба,Замороженная рыба,Стейк из Семги нарезка Подкова,"Рыба семга нарезка Стейк-подкова, замороженная, упаковка 1 кг",13 800 Т
Рыба,Замороженная рыба,Семга Атлантическая 5-6 кг замороженная,"Семга (лосось) Потрошеная, с головой, Норвегия, рыба весом от 5 до 6 кг",6 490 Т
Рыба,Замороженная рыба,Филе Судака средний уп. 1 кг,"упаковка весом 1 кг.,  пр-во Казахстан",6 300 Т
Рыба,Замороженная рыба,Семга Замороженная размер 3-4 кг,"Атлантический лосось, потрошеный, напилим на Стейки",6 900 Т
Рыба,Замороженная рыба,Морской Окунь размер 300-500 гр,"Окунь без головы, потрошеный, вылов Гренландия, уп. 1,2 кг",4 600 Т
Рыба,Замороженная рыба,"Кета (Дикий лосось) стейк-подкова свежемороженый, размер 1-2 кг",В продаже нарезанные на стейки-подкова,5 800 Т
Рыба,Замороженная рыба,Скумбрия с/м (макрель атлантическая) 300-600 гр,"Свежемороженая, вылов  Норвегия, размер 300 - 600 грамм",3 800 Т
Рыба,Замороженная рыба,Семга Замороженная размер 4/5 кг,"Атлантический лосось, потрошеный, напилим на Стейки",6 490 Т
Рыба,Замороженная рыба,Сибас замороженный 300-400 гр.,"Сибас замороженный, не потрошенный, весом 300-400 г, в упаковке 4 рыбки, общий вес упаковки 1,4 кг",5 000 Т
Рыба,Замороженная рыба,Дорадо Замороженная 400-600 гр/шт,"Рыба дорада не потрошенная, вес 400-600 грамм, в упаковке 2-3 рыбки общим весом 1-1.5 кг",5 190 Т
Рыба,Замороженная рыба,Тунец Еллоуфин Yellowfin филе уп. 350-550 гр.,"Еллоуфин, Вьетнам, упаковка 350 - 550 гр, суши грейд",15 800 Т
Рыба,Замороженная рыба,Филе хека размер 60 - 200 грамм,"Замороженное филе хека, размер филешки 60-200 гр, упаковка весом 1кг, Аргентина",4 800 Т
Рыба,Замороженная рыба,Тилапия замороженная филе 1 кг/уп,"Филе, 20 % глазурь, пр-во Китай",6 500 Т
Рыба,Замороженная рыба,"Палтус синекорый, ПБГ 2-4 кг Россия","тихоокеанский синекорый крупный, потрашенный без головы.",14 800 Т
Рыба,Замороженная рыба,"Угорь Копченый Унаги, филе для суши","Производство Китай, соус стандарт, вес упаковки 0.9-1.1кг",15 900 Т
Рыба,Замороженная рыба,Стейк из палтуса 1+ кг,"Замороженные стейки, вес 300-400 грамм",18 800 Т
Рыба,Замороженная рыба,Треска филе без шкуры 450/900 гр,,6 200 Т
Рыба,Замороженная рыба,"Минтай свежемороженый без головы, 1 кг/уп",В упаковке 3-5 шт. Потрошеный без головы,2 100 Т
Рыба,Замороженная рыба,Дорадо Замороженная 300-400 гр/шт,"Замороженная не чищенная, Турция, уп. 3 шт",5 190 Т
Рыба,Замороженная рыба,"Треска черная б/г 7/10 lb (3-4.5 кг), вылов Канада","Без головы, потрошеная, вес одной рыбы 3-4.5 кг",43 000 Т
Рыба,Замороженная рыба,Кета без головы 2-3 кг,,5 800 Т
Рыба,Замороженная рыба,"Морской язык 5%, филе, вес ±1.8 кг/уп","В упаковке 3 шт, средний вес одного филе ±600 гр.",3 700 Т
Рыба,Замороженная рыба,Форель радужная с/м 200-300 гр,"Свежемороженая Радужная Форель. Вес 200-300 гр. потрошеная, с головой. В упаковке 3-4 шт",5 500 Т
Рыба,Замороженная рыба,Сибас замороженный 400-600 гр.,"Сибас замороженный, не потрошенный, весом 400-600 г, в упаковке 3 рыбки. Общий вес упаковки 1,5 кг +/-",4 800 Т
Рыба,Замороженная рыба,Камбала замороженная вес 1+ кг,"Потрошеная без головы, вылов Мурманск",3 800 Т
Рыба,Замороженная рыба,"Стейки из Осетра, уп. 800 грамм","Осетр фермерский замороженный, нарезка Стейк, 250 - 400 гр.",18 500 Т
Рыба,Замороженная рыба,"Тунец Еллоуфин 50-100 гр, упаковка ±1кг",Свежемороженое филе. Вьетнам. Упаковка 1 кг.,8 500 Т
Рыба,Замороженная рыба,Треска филе на шкуре 1-1.3 кг,Вес филе 400-800 гр. Замороженное.,6 200 Т
Рыба,Замороженная рыба,Gastronomica Рыбные котлеты 600 гр/уп,"Рыба треска, развесные, пр-во Россия",3 800 Т
Рыба,Замороженная рыба,Сибас Замороженный 800 - 1000,"Не потрошеная замороженая рыба, вес от 800 грамм до 1 кг.",5 000 Т
Рыба,Замороженная рыба,Тунец Yellowfin филе уп. 500-800 гр,"Еллоуфин, Вьетнам, упаковка 500-800 гр, суши грейд",16 500 Т
Рыба,Замороженная рыба,Семга роллы обрезки с/м 1 кг,,4 800 Т
Рыба,Замороженная рыба,Филе судака крупное уп. 1 кг,упаковка весом 1 кг,6 500 Т
Рыба,Замороженная рыба,Сельдь свежемороженная 350-500 гр Норвегия,Вес одно рыбы +350 гр0,2 600 Т
Рыба,Замороженная рыба,Окунь филе на шкуре с/м 300-500 гр,Упаковка +/-1 кг,5 000 Т
Рыба,Замороженная рыба,Дорадо Замороженная 600-800 гр/шт,"Рыба дорада не потрошенная, вес 600-800 грамм, в упаковке 3 рыбки общим весом ± 2200 грамм",4 900 Т
Рыба,Замороженная рыба,Дорадо свежемороженная 1000-1500 гр/шт,"Рыба дорада не потрошенная, вес 1000 - 1500 грамм, в упаковке 2 рыбки общим весом +-3000 грамм",8 000 Т
Рыба,Замороженная рыба,Дорада Заморженая 800-1000 гр/шт Турция,"Замороженная не потрошеная дорада, вес рыбки 800 - 1000 грамм",5 000 Т
Рыба,Замороженная рыба,"Угольная рыба 1,5-2 кг","Потрошеная, без головы. Глазури не более 5%. Дальний Восток",10 500 Т
Рыба,Замороженная рыба,Тунец Альбакор филе,Медальоны из Белого Тунца Альбакор. Размер упаковки: 600-800 гр (3-4 шт),8 500 Т
Рыба,Замороженная рыба,Сибас Чилийский с/м б/г 6/8,Потрошеный без головы. Все 6-8 кг. Свежемороженный,45 000 Т
Рыба,Замороженная рыба,Сибас замороженный 600-800 гр,"Сибас замороженный, не потрошенный, весом 600-800 г, в упаковке 3 шт. Общий вес упаковки 2,2 кг +/-",4 900 Т
Рыба,Замороженная рыба,Окунь 500-700 гр свежемороженный без головы,"свежемороженный тушки, без головы 500-700 грамм/шт",3 890 Т
Рыба,Замороженная рыба,Хек тушка 450/600 Уругвай,"Рыба Хек, Уругвай, потрошеная без головы, уп. 1,8 кг",4 200 Т
Рыба,Филе из рыбы,Стейк из Семги нарезка Подкова,"Рыба семга нарезка Стейк-подкова, замороженная, упаковка 1 кг",13 800 Т
Рыба,Филе из рыбы,Лосось Малосольный филе на шкуре,"Малосольное Филе Атлантической Семги на шкуре зачищенное от костей, пр - во KingFisher",16 490 Т
Рыба,Филе из рыбы,Филе Судака средний уп. 1 кг,"упаковка весом 1 кг.,  пр-во Казахстан",6 300 Т
Рыба,Филе из рыбы,"Филе из Охлажденной Семги (Лосося) вес 1,8 - 2 кг","На шкуре, очищенное от костей, из охлажденной рыбы, вес 1,8 - 2 кг",21 490 Т
Рыба,Филе из рыбы,"Филе Сельди Матье, Голландия, чистое филе 600 гр","Слабосоленая, очищенная, упаковка 0,6 кг, замороженная, пр-во Голландия",14 800 Т
Рыба,Филе из рыбы,Филе семги на шкуре свежемороженое 1-2 кг,вес одного филе ±2 кг,14 900 Т
Рыба,Филе из рыбы,"Филе из Охлажденной Океанической Форели 1,5 кг","Производство Норвеги из охлажденной рыбы, очищенное от костей,  вес 1,5 кг",21 490 Т
Рыба,Филе из рыбы,Тунец Еллоуфин Yellowfin филе уп. 350-550 гр.,"Еллоуфин, Вьетнам, упаковка 350 - 550 гр, суши грейд",15 800 Т
Рыба,Филе из рыбы,Филе хека размер 60 - 200 грамм,"Замороженное филе хека, размер филешки 60-200 гр, упаковка весом 1кг, Аргентина",4 800 Т
Рыба,Филе из рыбы,Тилапия замороженная филе 1 кг/уп,"Филе, 20 % глазурь, пр-во Китай",6 500 Т
Рыба,Филе из рыбы,"Угорь Копченый Унаги, филе для суши","Производство Китай, соус стандарт, вес упаковки 0.9-1.1кг",15 900 Т
Рыба,Филе из рыбы,Стейк из палтуса 1+ кг,"Замороженные стейки, вес 300-400 грамм",18 800 Т
Рыба,Филе из рыбы,Треска филе без шкуры 450/900 гр,,6 200 Т
Рыба,Филе из рыбы,Филе Сельди малосольное KingFisher,"Сельдь малосольная, уп. 500 грамм, пр-во KingFisher",5 500 Т
Рыба,Филе из рыбы,Филе Сельди Матьес Беларусия 1 кг,"Очищенное филе сельди в масле, уп. 1 кг",6 500 Т
Рыба,Филе из рыбы,"Морской язык 5%, филе, вес ±1.8 кг/уп","В упаковке 3 шт, средний вес одного филе ±600 гр.",3 700 Т
Рыба,Филе из рыбы,"Стейки из Осетра, уп. 800 грамм","Осетр фермерский замороженный, нарезка Стейк, 250 - 400 гр.",18 500 Т
Рыба,Филе из рыбы,"Тунец Еллоуфин 50-100 гр, упаковка ±1кг",Свежемороженое филе. Вьетнам. Упаковка 1 кг.,8 500 Т
Рыба,Филе из рыбы,Треска филе на шкуре 1-1.3 кг,Вес филе 400-800 гр. Замороженное.,6 200 Т
Рыба,Филе из рыбы,Тунец Еллоуфин Лойнс филе 2кг+,"Филе Тунца замороженное, вакуум, Вьетнам",9 000 Т
Рыба,Филе из рыбы,Тунец Yellowfin филе уп. 500-800 гр,"Еллоуфин, Вьетнам, упаковка 500-800 гр, суши грейд",16 500 Т
Рыба,Филе из рыбы,Филе судака крупное уп. 1 кг,упаковка весом 1 кг,6 500 Т
Рыба,Филе из рыбы,Окунь филе на шкуре с/м 300-500 гр,Упаковка +/-1 кг,5 000 Т
Рыба,Филе из рыбы,Чилийский Сибас стейк-подкова,"Дикий Патагонский Клыкач, замороженный, вес уп. 400 - 600 грамм",55 000 Т
Рыба,Филе из рыбы,Черная Треска стейк-подкова,"Замороженная, уп. 2-3 стейка общим весом 600-800 грамм",55 000 Т
Рыба,Филе из рыбы,Тунец Альбакор филе,Медальоны из Белого Тунца Альбакор. Размер упаковки: 600-800 гр (3-4 шт),8 500 Т
Рыба,Филе из рыбы,Семга филе на шкуре холодного копчения (целый пласт),"Вес упаковки: 1,2-1,6 кг. Копченый лосось по шотландской технологии.",16 490 Т
Рыба,Рыба Копченая,Семга филе на шкуре холодного копчения ±500 гр,"Копченый лосось по шотландской технологии. Целое филе 1-1,2 кг.",16 890 Т
Рыба,Рыба Копченая,Эсколар полутушка холодного копчения 300 гр,"Филе Эсколара копченое, пр-во KingFisher",15 800 Т
Рыба,Рыба Копченая,Копченый Лосось (Семга) нарезка Слайсы ±100 гр,"Копченый Атлантический Лосось (шотландское копчение), пр-во KingFisher.",25 000 Т
Рыба,Рыба Копченая,Слайсы из копченого Эсколара ±100 гр,"Нарезка из копченого Эсколара, производство KingFisher",25 000 Т
Рыба,Рыба Копченая,Филе Осетра Холодного копчения,"На шкуре, без костей, пр-во KingFisher, уп. 300 - 500 грамм",30 000 Т
Рыба,Рыба Копченая,Осетр Копченый нарезка слайсы,"Филе холодного копчения, уп. весовая примерно 150 гр",35 000 Т
Рыба,Рыба Копченая,Семга филе на шкуре холодного копчения (целый пласт),"Вес упаковки: 1,2-1,6 кг. Копченый лосось по шотландской технологии.",16 490 Т
Рыба,Рыба Копченая,Дорадо тушка горячего копчения до 800 гр,"Размер рыбы 400/600, 600/800 гр, потрошеная. Производство KingFisher.",9 990 Т
Рыба,Рыба Копченая,Сибас тушка горячего копчения до 800 гр,"Размер рыбы 400/600, 600/800 гр, потрошеная. Наше производство.",9 990 Т
Рыба,Рыба Копченая,Палтус филе на шкуре холодного копчения,Палтус филе на шкуре холодного копчения. Вакуумная упаковка,26 800 Т
Рыба,Рифовая рыба,Снеппер Красный (Red Snapper),"Охлажденный, вес 1-3 кг/рыбка, рифовая",14 800 Т
Рыба,Рифовая рыба,Барабулька охл 150/450 Red Mullet (Султанка),"Охлажденная, вылов Шри Ланка, 150 - 450 гр/шт По предзаказу.",14 800 Т
Рыба,Рифовая рыба,"Барамунди (белый морской окунь) вес 0,5 - 2 кг/шт","Вылов Шри Ланка, охлажденная. По предзаказу.",14 800 Т
Рыба,Рифовая рыба,"Групер Каменный 0,5 - 2 кг/шт","Охлажденный Группер, вылов Шри Ланке, доставлен самолетом. По предзаказу.",14 800 Т
Рыба,Малосольная рыба,Лосось Малосольный филе на шкуре,"Малосольное Филе Атлантической Семги на шкуре зачищенное от костей, пр - во KingFisher",16 490 Т
Рыба,Малосольная рыба,"Филе Сельди Матье, Голландия, чистое филе 600 гр","Слабосоленая, очищенная, упаковка 0,6 кг, замороженная, пр-во Голландия",14 800 Т
Рыба,Малосольная рыба,"Малосольный Лосось (семга) нарезка слайсами, уп. 100 гр","Нарезка из Малосольной Атлантической семги слайсами, пр - во KingFisher",25 000 Т
Рыба,Малосольная рыба,Филе Сельди малосольное KingFisher,"Сельдь малосольная, уп. 500 грамм, пр-во KingFisher",5 500 Т
Рыба,Малосольная рыба,Филе Сельди Матьес Беларусия 1 кг,"Очищенное филе сельди в масле, уп. 1 кг",6 500 Т
Рыба,Рыбные Консервы,Сардины в растительном масле Adriatic Queen 105 гр,"Консервированные средиземноморские Сардины, уп. 105 гр",1 480 Т
Рыба,Рыбные Консервы,Medusa салат из осьминога 200 гр,"Маринованный осьминог, уп. 200 гр, Италия, Medusa",5 900 Т
